file_name,comment_id,original_sentence,cleaned_sentence,sentence_embedding,codes,themes,food and drinks,place,people,opinions
restaurant_reviews.docx,0,"There's nothing new about this wonderful Greek restaurant in west London, but that's exactly the point",Theres nothing new wonderful Greek restaurant west London thats exactly point,"[ 5.20282987e-02  3.33730204e-02  3.36995606e-02 -9.80662070e-03
  8.03831393e-02  4.40681997e-02  1.54515020e-01  4.85885993e-03
  1.93354210e-02 -6.30079895e-03 -3.01506004e-02 -3.17826551e-02
 -8.74882002e-01  1.11654803e-02  2.30635593e-02  8.45679366e-04
  7.20523810e-02  1.81429373e-02 -9.21706009e-02 -1.18846002e-02
  7.71269980e-02 -9.79312393e-02 -3.33648001e-02 -5.96726027e-02
  1.18254198e-02  1.42109518e-01  1.46030375e-02 -2.36243198e-02
  6.38968801e-02 -1.13774400e-01 -1.49116001e-02 -4.76540014e-03
 -7.47319959e-03 -3.29718406e-02  1.08024321e-01  7.90276999e-02
 -4.75928194e-02  3.07876564e-02  8.38118187e-02  1.44878998e-02
 -1.40448798e-01 -7.08727963e-03  3.73513786e-02 -1.76835236e-03
 -3.50945599e-03  1.57527224e-02  8.94903611e-02 -1.61973200e-02
 -3.72375597e-02  6.42010114e-02]",positive,opinions,0,0,0,1
restaurant_reviews.docx,1,"It is a dark, damp night in London's W9.",dark damp night Londons W,"[-0.015798   -0.0283824   0.039621   -0.00219914 -0.01187144  0.0188848
  0.05267206 -0.0326173  -0.02499342 -0.0242664  -0.04686572 -0.00304286
 -0.2919082   0.01071932 -0.0059428  -0.02985676  0.06244788 -0.0165952
 -0.042222    0.04171798 -0.024285   -0.0363794  -0.01226636 -0.04696646
  0.0346416   0.05508422 -0.0392556   0.02496384 -0.0107284   0.02683352
  0.00758677  0.0466588  -0.00264062  0.01196876 -0.0171584  -0.0279574
 -0.0248201   0.0278292   0.01827812  0.04814768 -0.081866    0.0182822
  0.0105026   0.018571    0.01136298  0.05568932  0.03810678 -0.0257426
 -0.01265288  0.03981154]",location,place,0,1,0,0
restaurant_reviews.docx,1,"Rear lights reflect off wet roads, a gash of red against the black, and occasionally the constant growl of traffic on the Harrow Road",Rear lights reflect wet roads gash red black occasionally constant growl traffic Harrow Road,"[-0.0827757  -0.07310402  0.04897744 -0.06047984  0.00759744  0.02846866
  0.2183698  -0.09250908 -0.00633016 -0.07214704  0.05920788 -0.02959612
 -0.76757599 -0.05954626  0.03439295 -0.03855644  0.0387286  -0.01743069
  0.03550474 -0.05529725 -0.09332852 -0.1055914   0.05886582 -0.0405236
  0.01790012  0.12698994 -0.10805186  0.14462978 -0.1090346   0.0663118
  0.05951136  0.0421056   0.13114586 -0.05396027  0.1126072   0.02751206
 -0.12548294  0.05150124  0.07701666  0.0871391   0.00138404  0.07407834
  0.00587254  0.00136206 -0.00829331  0.02778184  0.06591263  0.0423708
  0.06479512  0.13666164]",location,place,0,1,0,0
restaurant_reviews.docx,2,mostly residential street that reminds me of my sun-kissed time Greek island hopping so many years ago,mostly residential street reminds sunkissed time Greek island hopping many years ago,"[-0.03234808  0.01801078  0.0188127  -0.05672168  0.06079504  0.01515242
  0.12482662 -0.03084828  0.03518112 -0.0784236  -0.02542754 -0.07750352
 -0.7998918   0.0888687   0.0501237  -0.06899132  0.0080608  -0.04147384
 -0.05374297  0.01359214  0.0909294  -0.04196546 -0.06187211 -0.08438072
  0.01959038  0.169566   -0.1204848  -0.0577102   0.01331286 -0.05276394
  0.02486617  0.00734556  0.01642882 -0.03642238  0.01929592  0.04330802
 -0.03454924  0.0708337   0.04380968 -0.0286856  -0.09067    -0.01107496
  0.00818666 -0.05024186  0.01258052  0.040364    0.0309566   0.01748738
 -0.05643532  0.11453444]",location,place,0,1,0,0
restaurant_reviews.docx,3,There is no signage on the turquoise frontage.,signage turquoise frontage,"[-5.81072799e-02 -6.35056180e-02 -4.12839979e-03 -7.53700048e-03
  3.04974800e-02 -8.21159989e-03  1.82383996e-02 -5.74981999e-02
  1.48592004e-02 -4.25226812e-02 -6.93793982e-03 -3.32279995e-03
 -6.24717987e-02 -1.28447601e-02  3.90960202e-02 -1.53506005e-02
  3.27844000e-02  2.04668000e-02  3.35599899e-03  2.18321995e-02
 -4.12080014e-02 -2.44045997e-02  9.09999013e-05 -6.38194001e-02
  7.44999647e-04  1.33597395e-02 -3.86008012e-02  5.35158014e-02
  1.04059935e-03  5.03480136e-03  3.95939997e-02  3.25284007e-02
  5.17922002e-02 -2.90226007e-02  3.42784600e-02 -5.22095993e-02
 -7.30920017e-03  2.79045999e-02  5.79739988e-02  2.60539949e-03
  2.70996001e-02 -2.24776006e-02  2.02402002e-02 -1.72081985e-03
 -1.44551998e-02  9.75326024e-03  7.76846014e-03  7.97073975e-03
  4.88950191e-02 -4.99139965e-03]",decor,place,0,1,0,0
restaurant_reviews.docx,3,"There are pale red curtains drawn across both the windows and the window in the door, denying you sight of what's going on inside.",pale red curtains drawn across windows window door denying sight whats going inside,"[-0.00861226 -0.01964684  0.08078378  0.0761658  -0.01656408 -0.00240618
  0.1586002  -0.04911084  0.06590812 -0.00684418  0.06443734  0.03956516
 -0.877036   -0.05660348 -0.10052101 -0.00376316  0.06146509 -0.01781316
  0.01365992 -0.09034302 -0.0717686  -0.14404438  0.01272676 -0.0397138
 -0.00178698  0.0915736  -0.1180428   0.01194052 -0.06065189  0.0388098
 -0.00653366  0.07011335  0.0753302  -0.1529712   0.09662845  0.01877342
 -0.07329142  0.0604112  -0.01983221  0.04478043 -0.0313466   0.1265784
  0.0129162   0.03753346  0.0750732   0.02450232  0.07284664  0.045448
  0.04659028  0.14805446]",decor,place,0,1,0,0
restaurant_reviews.docx,4,"If the door is ajar, you may see a cluttered desk against the wall just inside, a computer perched amid the paperwork",door ajar may see cluttered desk wall inside computer perched amid paperwork,"[ 0.05297864  0.00918203  0.09224386  0.0499284  -0.03578444 -0.00207802
  0.0848498  -0.10921324  0.03709744 -0.0437284   0.0898358   0.02405904
 -0.65677807 -0.11458148 -0.0205404   0.02058668  0.02631338  0.03141452
 -0.01553346 -0.13298928 -0.1326508  -0.07507994 -0.04688738  0.05429231
 -0.0770994   0.11957471 -0.0782558  -0.02352136 -0.06099315  0.0833464
  0.07422528 -0.00452006  0.02078584 -0.15140374  0.0354033  -0.05335196
  0.00140158  0.1315526   0.07593018 -0.04786651 -0.02031948  0.13691506
 -0.00804592  0.04777876  0.1123479   0.02214712 -0.00823676  0.02106678
 -0.001163    0.10115088]",layout,place,0,1,0,0
restaurant_reviews.docx,5,"Walk past the front room's open kitchen with its charcoal grill, tended by a couple of bearded men, to the half wood-panelled dining room at the back.",Walk past front rooms open kitchen charcoal grill tended couple bearded men half woodpanelled dining room back,"[-0.04458798 -0.05932742  0.06581402 -0.02058386  0.0469062  -0.0276209
  0.17252004 -0.06660822 -0.04084718 -0.03562397 -0.00852046  0.07574569
 -1.02822379 -0.02258074  0.029161    0.05511434  0.02612228 -0.14272674
 -0.099884   -0.04451968 -0.0385978  -0.12992454  0.0111648  -0.13552284
  0.03021514  0.16366956 -0.07874578 -0.03124376 -0.04004224 -0.01309166
  0.09274064  0.0701452   0.02917998 -0.05709702  0.08305798 -0.10694694
  0.04169766  0.11480346  0.16678202  0.07033022 -0.1155058   0.1962374
 -0.05084623 -0.03511     0.17652351  0.0226685   0.1551323   0.05031718
  0.05482203  0.0379202 ]",layout,place,0,1,0,0
restaurant_reviews.docx,5,"Or, if you're feeling intrepid, go sit under the heaters in the covered garden space out back, strung with fairy lights.",youre feeling intrepid go sit heaters covered garden space back strung fairy lights,"[-0.06807144 -0.03083242  0.0383182   0.01985956 -0.02748455  0.02544747
  0.19964444 -0.0634504   0.04112456 -0.02142108 -0.0121163   0.07489567
 -0.8226808  -0.07740216 -0.02559552  0.04292366 -0.02798142 -0.04093472
 -0.01726806  0.01081274  0.03937292 -0.04293824 -0.0317951  -0.01670769
 -0.03286754  0.10327084 -0.14908272  0.06477832  0.0213636   0.00168181
  0.05154744  0.0234567   0.04904378 -0.03059892  0.0170248  -0.01621786
  0.0019915   0.01595354  0.04024     0.16325211 -0.0537538   0.09168126
  0.00182566 -0.01984108  0.05407856  0.08415286  0.05754726  0.03932754
  0.02259126  0.14805876]",layout,place,0,1,0,0
restaurant_reviews.docx,6,"But please, do go",please go,"[ 1.16832003e-02  1.27418000e-02 -2.28618002e-02 -3.46903992e-02
 -2.00294000e-02 -1.98667991e-02  5.04238009e-02  2.19944006e-02
  1.40440005e-02  1.88521999e-02 -1.24624194e-02 -1.31872001e-02
 -1.95372000e-01 -2.79664804e-02 -2.32270002e-02  1.96307999e-02
 -1.41627997e-02 -1.74123996e-02 -2.94665986e-02  7.49973997e-03
  2.35966003e-02 -1.55685997e-02 -9.76200104e-04  2.60502011e-02
 -3.40234004e-03 -1.27983999e-02  2.98260003e-02  1.37370002e-02
  2.56427991e-02  2.94740592e-03  8.44001770e-05  2.11522005e-03
  2.68469989e-03  1.82978004e-02  2.52954000e-02 -5.13179958e-03
  2.49598002e-02 -2.49660015e-03 -8.70599955e-03  2.98254001e-02
 -3.89429986e-02 -1.15742007e-02  5.89659989e-03  4.72679973e-03
  1.65652004e-02 -8.84474009e-03 -1.18704000e-02 -2.01422006e-03
  1.06896899e-02  2.61919975e-03]",positive,opinions,0,0,0,1
